job_title,industry,location,type,minimum_job_year,needed,company_name,Requirements,
Sr. Frontend Web Developer,Software Development,Jakarta Pusat,Full-time,4,1,Worlder Team Pte Ltd,"The ideal candidate for this position will have a minimum of 5 years of experience in web development, with a strong technical background in frontend application development. They should be well-versed in performance optimization, responsive design for both desktop and mobile devices, and API integration. Fluency in English, both oral and written, is a must, as well as excellent communication and interpersonal skills. The candidate should take pride in developing high-quality and efficient software, and possess a positive attitude with a willingness to learn and adapt to new technologies. Proficiency in web app development with React.js and JavaScript, as well as HTML and CSS for maintaining company websites, is required. Experience with Git, GitHub, GIMP or another graphical editor, and various development tools such as build tools, npm, git, CI/CD tools, and browser developer tools is also necessary.",
Sr. Backend Engineer,Software Development,Jakarta Pusat,Full-time,4,1,Worlder Team Pte Ltd,"The ideal candidate for this position will have a strong technical background with a minimum of 5 years of experience in executing software development projects. Fluency in English, both oral and written, is a must, as well as excellent communication and interpersonal skills. The successful candidate will take pride in developing high-quality and efficient software, and will have a positive attitude and a willingness to learn on the job. Proficiency in server language Golang, server framework Echo, backend architecture Microservices & Multi-Databases, infrastructure AWS, Docker, and on-premise servers, DB MySQL, source code management GitHub, backend test Postman, and Python is required. If you meet these qualifications and are looking for a challenging and rewarding opportunity, we encourage you to apply.",
Jr Project Manager,Software Development,Jakarta Pusat,Full-time,1,1,Worlder Team Pte Ltd,"A successful candidate for the Junior Project Manager position should possess a Bachelor's degree in engineering or computer science, along with a minimum of 1 year of experience in project management and expediting. Previous experience in the mobile app development or software development industry is highly preferred. The ideal candidate will have excellent organisational and communication skills, as well as the ability to work well in a team and collaborate with multiple stakeholders. Attention to detail and the ability to prioritise tasks are essential for this role. Proficiency in project management tools and software, particularly Jira, is required. Knowledge of project management methodologies such as Agile and Waterfall is a plus. Additionally, holding a Project Management Professional (PMP) certification or equivalent would be advantageous.",
Finance Accounting AR,Retail,Jakarta Selatan,Full-time,1,1,PT Aditya Saraana Graha,"We are currently seeking a candidate for the position of Accountant with the following qualifications: maximum age of 30 years old, minimum education of D3 in Accounting Economics, at least 3 years of experience in the same field, honest, detail-oriented, efficient, with integrity, diligent, confident, and able to work independently or in a team. Proficiency in operating Google Workspace and fluency in Mandarin are required. The placement for this position will be in South Jakarta. If you meet the criteria and are interested in joining our team, please submit your application. Thank you.",
Product Designer,Technology,Bandung,Full-time,1,1,Dicoding Indonesia,"As a designer, it is essential to understand how to plan and conduct design research, both quantitative and qualitative, in order to create effective and user-centered solutions. Additionally, having a strong proficiency in using design tools like Figma is crucial for bringing your ideas to life. It is important to have the courage to think creatively and articulate design decisions with confidence. A growth mindset and high curiosity are also key traits for continuously improving and staying ahead in the ever-evolving field of design. Lastly, prioritizing a healthy and balanced lifestyle is essential for maintaining productivity and overall well-being in your professional life.",
Sales Taking Order,Penyedia Tenaga Kerja,Palu,Contract,0,1,Dobel Cek Indonesia,"We are looking for a male candidate, preferably under the age of 35, with a minimum educational qualification of high school (SMA/SMK) or equivalent. The ideal candidate should have at least one year of experience in the consumer goods industry. Additionally, the candidate must own a personal vehicle and be willing to work in the Palu city area.",
Sales Supervisor,Penyedia Tenaga Kerja,Palu,Contract,1,1,Dicoding Jobs Talent Acquisition Services,"We are seeking a male candidate, ideally not older than 35 years, with a minimum of a bachelor's degree (S1) in any field. The candidate should have at least two years of experience in the consumer goods industry. Additionally, the candidate must own a personal vehicle and be willing to work in the Palu city area.",
Bukit Vista Flutter Mobile Developer Residency - Cycle 3,Tech Staffing and Recruiting,Yogyakarta,Intern,0,5,Dicoding Jobs Talent Acquisition Services,"We are looking for candidates who have completed the Flutter Intermediate Application Development class and the SOLID Programming Principles class within the Multi-Platform App Developer learning path. It is a bonus if the candidate has also completed the Flutter Developer Expert class. Candidates must meet one of the following prerequisites: graduates from Dicoding who are either undergraduate students yet to complete their studies or graduates who did not pursue further education (diploma, bachelor's, etc.) and have up to one year of professional experience in a similar role to this job posting. The candidate must be ready to work according to company regulations for a period of three months, with working hours from 8:00 AM to 5:00 PM WIB.",
Bukit Vista Backend Developer Residency - Cycle 2,Tech Staffing and Recruiting,Yogyakarta,Intern,0,5,Dicoding Jobs Talent Acquisition Services,"We are seeking candidates who have completed the Dicoding Cloud Practitioner Essentials (Basic AWS Cloud Learning), Fundamental Back-End Application, and Node.js Application Developer classes within the Back-End Developer learning path. A bonus will be given to those who have also completed the Architecting on AWS (Building Cloud Architecture on AWS) and Back-End Developer Expert classes. Candidates must meet one of the following prerequisites: graduates from Dicoding who are either undergraduate students yet to complete their studies or graduates who did not pursue further education (diploma, bachelor's, etc.) and have up to one year of professional experience in a similar role to this job posting. The candidate must be ready to work according to company regulations for a period of three months, with working hours from 8:00 AM to 5:00 PM WIB.",
Bukit Vista Machine Learning Residency - Cycle 2,Tech Staffing and Recruiting,Yogyakarta,Intern,0,5,Dicoding Jobs Talent Acquisition Services,"We are looking for candidates who have completed the Dicoding Applied Machine Learning class and the Machine Learning Operations (MLOps) class within the Machine Learning Developer learning path. Candidates must meet one of the following prerequisites: graduates from Dicoding who are either undergraduate students yet to complete their studies or graduates who did not pursue further education (diploma, bachelor's, etc.) and have up to one year of professional experience in a similar role to this job posting. The candidate must be ready to work according to company regulations for a period of three months, with working hours from 8:00 AM to 5:00 PM WIB.",
